requested_flow_mL_s,turns,coil_diameter_cm,outer_h_W_m2K,prechill_tube_enabled,avg_outlet_no_rod_C,final_outlet_no_rod_C,ice_remaining_no_rod_g,pressure_ratio_no_rod,tube_length_m_no_rod,avg_outlet_with_rod_C,final_outlet_with_rod_C,ice_remaining_with_rod_g,pressure_ratio_with_rod,tube_length_m_with_rod,rod_delta_avg_C,rod_delta_final_C,rod_extra_ice_remaining_g
10.0,24.0,7.5,250.0,False,37.709062801368944,37.709062801369015,823.9416980073679,2.7932973785488047,5.659485508377022,35.452492960090495,35.45249296009043,819.4834926563007,2.7932973785488047,5.659485508377022,2.2565698412784485,2.2565698412785835,-4.4582053510672495
6.0,24.0,7.5,250.0,False,37.709062801368944,37.709062801369015,823.9416980073679,1.1519565994362495,5.659485508377022,35.452492960090495,35.45249296009043,819.4834926563007,1.1519565994362495,5.659485508377022,2.2565698412784485,2.2565698412785835,-4.4582053510672495
8.0,8.0,7.5,750.0,False,46.40322904386629,46.40322904386655,856.3090021161115,0.7121480606802554,1.8864951694590075,44.14699818335883,44.14699818335904,851.8520587484784,0.7121480606802554,1.8864951694590075,2.2562308605074577,2.2562308605075145,-4.45694336763313
8.0,30.0,6.0,250.0,False,37.70038623814332,37.70038623814323,823.9093962371094,1.8946998793153345,5.6620818893786335,35.44472213317442,35.44472213317431,819.4545628301274,1.8946998793153345,5.6620818893786335,2.2556641049688935,2.255664104968922,-4.4548334069819475
6.0,30.0,6.0,250.0,False,37.70038623814332,37.70038623814323,823.9093962371094,1.1524537815436473,5.6620818893786335,35.44472213317442,35.44472213317431,819.4545628301274,1.1524537815436473,5.6620818893786335,2.2556641049688935,2.255664104968922,-4.4548334069819475
10.0,30.0,6.0,250.0,False,37.70038623814332,37.70038623814323,823.9093962371094,2.7944919138251065,5.6620818893786335,35.44472213317442,35.44472213317431,819.4545628301274,2.7944919138251065,5.6620818893786335,2.2556641049688935,2.255664104968922,-4.4548334069819475
8.0,12.0,7.5,250.0,False,58.3482177717636,58.34821777176335,900.7787157088434,1.0075827121637115,2.829742754188511,56.1100407934044,56.11004079340453,896.3889847083823,1.0075827121637115,2.829742754188511,2.238176978359199,2.2381769783588226,-4.389731000461097
10.0,12.0,7.5,250.0,False,58.3482177717636,58.34821777176335,900.7787157088434,1.491397718737952,2.829742754188511,56.1100407934044,56.11004079340453,896.3889847083823,1.491397718737952,2.829742754188511,2.238176978359199,2.2381769783588226,-4.389731000461097
10.0,10.0,9.0,250.0,False,58.35551852834402,58.3555185283438,900.8058955213552,1.491073162181422,2.829037314597031,56.11768984105678,56.11768984105685,896.4174611654086,1.491073162181422,2.829037314597031,2.237828687287241,2.2378286872869495,-4.388434355946629
8.0,10.0,9.0,250.0,False,58.35551852834402,58.3555185283438,900.8058955213552,1.007361761372821,2.829037314597031,56.11768984105678,56.11768984105685,896.4174611654086,1.007361761372821,2.829037314597031,2.237828687287241,2.2378286872869495,-4.388434355946629
