JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458077.80779,13.346,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.60,Z,18.623,19.112,,ASASSN-17PF,VVS,STD,,,,
2458077.80994,13.332,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.60,Z,18.619,19.078,,ASASSN-17PF,VVS,STD,,,,
2458077.81212,13.320,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.61,Z,18.622,19.079,,ASASSN-17PF,VVS,STD,,,,
2458077.81429,13.363,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.61,Z,18.580,19.066,,ASASSN-17PF,VVS,STD,,,,
2458077.81645,13.334,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.61,Z,18.598,19.080,,ASASSN-17PF,VVS,STD,,,,
2458077.81862,13.335,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.62,Z,18.585,19.072,,ASASSN-17PF,VVS,STD,,,,
2458077.82080,13.327,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.62,Z,18.605,19.084,,ASASSN-17PF,VVS,STD,,,,
2458077.82295,13.330,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.63,Z,18.607,19.076,,ASASSN-17PF,VVS,STD,,,,
2458077.82512,13.343,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.63,Z,18.602,19.100,,ASASSN-17PF,VVS,STD,,,,
2458077.82728,13.331,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.63,Z,18.586,19.097,,ASASSN-17PF,VVS,STD,,,,
